Game_ID,Team,Player,blocks,min,pFouls,tpp,totReb,defReb,assists,fgm,offReb,plusMinus,fga,tpa,ftp,fta,turnovers,tpm,points,steals,ftm,fgp
10799,Heat,Jimmy Butler,,,,,,,,,,,,,,,,,,,,
10819,Heat,Jimmy Butler,0,15,0,0.0,2,2,0,4,0,7,7,1,50.0,2,0,0,9,1,1,57.1
10824,Heat,Jimmy Butler,,,,,,,,,,,,,,,,,,,,
10835,Heat,Jimmy Butler,,,,,,,,,,,,,,,,,,,,
10850,Heat,Jimmy Butler,,,,,,,,,,,,,,,,,,,,
10854,Heat,Jimmy Butler,0,25,1,100.0,4,4,4,7,0,0,14,1,90.9,11,2,1,25,1,10,50.0
9580,Heat,Jimmy Butler,0,29,3,0.0,4,3,6,6,1,27,10,0,81.8,11,1,0,21,1,9,60.0
9593,Heat,Jimmy Butler,0,40,4,33.3,6,3,6,7,3,-5,22,3,80.0,5,4,1,19,3,4,31.8
9610,Heat,Jimmy Butler,0,32,2,0.0,3,3,2,15,0,8,21,0,100.0,6,1,0,36,5,6,71.4
9622,Heat,Jimmy Butler,1,37,3,0.0,14,10,7,6,4,12,18,0,83.3,6,3,0,17,4,5,33.3
9638,Heat,Jimmy Butler,1,36,3,33.3,10,5,5,12,5,-1,19,3,100.0,7,4,1,32,1,7,63.2
9649,Heat,Jimmy Butler,0,30,0,50.0,5,5,7,8,0,22,12,2,90.9,11,1,1,27,3,10,66.7
9669,Heat,Jimmy Butler,1,33,4,0.0,6,4,6,4,2,14,11,1,88.2,17,1,0,23,3,15,36.4
8907,Heat,Jimmy Butler,0,38,3,0.0,4,1,2,8,3,-10,18,4,50.0,8,2,0,20,1,4,44.4
8920,Heat,Jimmy Butler,0,35,0,0.0,3,3,6,11,0,-12,15,0,83.3,6,3,0,27,0,5,73.3
8937,Heat,Jimmy Butler,1,37,0,66.7,5,4,8,10,1,-5,18,3,81.8,11,1,2,31,0,9,55.6
9735,Heat,Jimmy Butler,0,12,0,0.0,0,0,1,1,0,-3,3,1,100.0,5,0,0,7,2,5,33.3
9782,Heat,Jimmy Butler,1,36,1,50.0,10,8,10,10,2,9,18,2,83.3,12,3,1,31,0,10,55.6
9790,Heat,Jimmy Butler,0,34,0,0.0,3,2,5,11,1,11,19,1,100.0,10,1,0,32,4,10,57.9
9806,Heat,Jimmy Butler,0,38,1,0.0,5,5,4,11,0,1,19,2,77.8,9,1,0,29,2,7,57.9
9828,Heat,Jimmy Butler,0,34,2,0.0,9,5,5,4,4,-7,13,1,77.8,9,3,0,15,1,7,30.8
9839,Heat,Jimmy Butler,0,38,1,0.0,8,8,5,5,0,-16,9,3,85.7,7,3,0,16,1,6,55.6
9861,Heat,Jimmy Butler,0,36,2,0.0,4,3,5,6,1,0,15,4,85.7,7,1,0,18,5,6,40.0
9142,Heat,Jimmy Butler,0,24,0,0.0,5,3,4,4,2,-8,13,1,100.0,2,2,0,10,3,2,30.8
9156,Heat,Jimmy Butler,,,,,,,,,,,,,,,,,,,,
10058,Heat,Jimmy Butler,0,34,1,0.0,11,5,5,5,6,16,14,1,77.8,9,2,0,17,3,7,35.7
10074,Heat,Jimmy Butler,2,35,1,0.0,8,6,15,8,2,7,16,0,100.0,9,4,0,25,2,9,50.0
9318,Heat,Jimmy Butler,2,35,0,66.7,1,1,2,12,0,6,21,3,100.0,11,0,2,37,1,11,57.1
10113,Heat,Jimmy Butler,0,36,0,16.7,6,3,5,9,3,-12,22,6,100.0,2,2,1,21,0,2,40.9
