Game_ID,Team,Player,blocks,min,pFouls,tpp,totReb,defReb,assists,fgm,offReb,plusMinus,fga,tpa,ftp,fta,turnovers,tpm,points,steals,ftm,fgp
9557,Lakers,Joel Ayayi,0,22,2,0.0,2,2,3,2,0,-4,3,0,0.0,0,3,0,4,1,0,66.7
9557,Lakers,Vic Law,0,20,0,16.7,9,5,2,5,4,-7,12,6,0.0,0,0,1,11,1,0,41.7
9557,Lakers,Devontae Cacok,0,15,3,50.0,3,3,1,4,0,-11,8,2,50.0,2,2,1,10,3,1,50.0
9557,Lakers,Austin Reaves,1,21,4,0.0,6,4,5,1,2,12,7,3,0.0,0,3,0,2,1,0,14.3
9557,Lakers,Justin Robinson,0,25,2,33.3,5,4,8,1,1,24,4,3,50.0,2,4,1,4,3,1,25.0
9557,Lakers,Chaundee Brown Jr.,0,19,0,100.0,2,1,0,4,1,15,6,1,75.0,4,0,1,12,1,3,66.7
9557,Lakers,Yoeli Childs,0,12,1,0.0,7,6,1,2,1,-5,5,2,0.0,0,3,0,4,0,0,40.0
9557,Lakers,Jordan Floyd,0,13,0,0.0,0,0,1,1,0,-12,7,4,0.0,0,2,0,2,1,0,14.3
9557,Lakers,Romaro Gill,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
9557,Lakers,Alan Griffin,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
9557,Lakers,Tyler Hagedorn,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
9557,Lakers,Mac McClung,0,7,0,0.0,1,1,0,0,0,-22,3,1,100.0,1,1,0,1,0,1,0.0
9557,Lakers,Trevelin Queen,0,17,5,60.0,5,1,0,8,4,12,16,5,100.0,2,0,3,21,4,2,50.0
9557,Lakers,Zavier Simpson,1,11,0,0.0,0,0,2,0,0,14,1,0,50.0,4,0,0,2,1,2,0.0
9557,Lakers,Tres Tinkle,1,12,0,33.3,5,4,1,4,1,24,8,3,50.0,4,0,1,11,0,2,50.0
10796,Lakers,Kent Bazemore,0,21,1,50.0,3,3,3,2,0,-10,6,2,0.0,0,1,1,5,1,0,33.3
10796,Lakers,Anthony Davis,0,11,2,0.0,1,1,1,2,0,-7,6,0,66.7,3,2,0,6,1,2,33.3
10796,Lakers,DeAndre Jordan,3,17,3,0.0,4,4,1,1,0,-10,2,0,62.5,8,1,0,7,0,5,50.0
10796,Lakers,Talen Horton-Tucker,0,25,2,25.0,4,4,3,3,0,-2,11,4,75.0,4,1,1,10,1,3,27.3
10796,Lakers,Kendrick Nunn,0,23,1,25.0,7,5,1,4,2,-6,10,4,0.0,0,2,1,9,0,0,40.0
10796,Lakers,Carmelo Anthony,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
10796,Lakers,Trevor Ariza,,,,,,,,,,,,,,,,,,,,
10796,Lakers,Joel Ayayi,0,13,2,0.0,0,0,1,0,0,-15,2,1,0.0,0,1,0,0,0,0,0.0
10796,Lakers,Chaundee Brown Jr.,0,13,0,50.0,1,0,0,4,1,-18,8,4,0.0,1,2,2,10,0,0,50.0
10796,Lakers,Wayne Ellington,0,21,2,28.6,1,1,0,3,0,3,9,7,100.0,3,0,2,11,1,3,33.3
10796,Lakers,Dwight Howard,1,12,6,0.0,6,1,0,3,5,0,7,0,83.3,6,2,0,11,1,5,42.9
10796,Lakers,LeBron James,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
10796,Lakers,Mac McClung,1,9,2,0.0,1,1,2,0,0,-16,3,2,50.0,2,0,0,1,1,1,0.0
10796,Lakers,Malik Monk,1,20,0,50.0,2,2,1,6,0,-5,12,6,0.0,0,1,3,15,0,0,50.0
10796,Lakers,Cameron Oliver,0,12,3,0.0,2,0,0,1,2,-22,1,0,50.0,4,1,0,4,1,2,100.0
10796,Lakers,Trevelin Queen,0,7,1,0.0,3,1,1,2,2,-5,6,1,100.0,1,0,0,5,1,1,33.3
10796,Lakers,Austin Reaves,0,20,4,25.0,3,2,2,1,1,-18,5,4,0.0,0,2,1,3,1,0,20.0
10796,Lakers,Rajon Rondo,0,8,1,0.0,3,3,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0.0
10796,Lakers,Russell Westbrook,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
10815,Lakers,Kent Bazemore,1,15,4,0.0,2,2,0,2,0,-21,4,2,100.0,2,3,0,6,0,2,50.0
10815,Lakers,Anthony Davis,2,24,0,33.3,8,7,2,5,1,-10,14,3,50.0,6,0,1,14,2,3,35.7
10815,Lakers,DeAndre Jordan,1,19,2,0.0,7,7,1,3,0,-9,3,0,0.0,0,1,0,6,0,0,100.0
10815,Lakers,Kendrick Nunn,0,26,1,20.0,3,3,2,5,0,-15,12,5,0.0,0,1,1,11,0,0,41.7
10815,Lakers,Talen Horton-Tucker,0,23,1,50.0,3,2,3,3,1,-1,7,4,75.0,4,5,2,11,1,3,42.9
10815,Lakers,Carmelo Anthony,0,17,3,0.0,2,2,1,4,0,-4,10,1,0.0,0,1,0,8,1,0,40.0
10815,Lakers,Trevor Ariza,,,,,,,,,,,,,,,,,,,,
10815,Lakers,Joel Ayayi,0,14,2,0.0,1,0,1,0,1,11,5,2,0.0,0,1,0,0,2,0,0.0
10815,Lakers,Chaundee Brown Jr.,0,8,2,100.0,3,2,1,3,1,19,3,1,100.0,2,0,1,9,0,2,100.0
10815,Lakers,Wayne Ellington,0,21,2,33.3,6,6,1,2,0,-11,5,3,0.0,0,0,1,5,0,0,40.0
10815,Lakers,Dwight Howard,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
10815,Lakers,LeBron James,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
10815,Lakers,Mac McClung,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
10815,Lakers,Malik Monk,0,21,1,57.1,1,1,3,7,0,-19,11,7,0.0,0,4,4,18,0,0,63.6
10815,Lakers,Cameron Oliver,0,5,0,50.0,2,2,1,1,0,13,2,2,0.0,0,0,1,3,1,0,50.0
10815,Lakers,Trevelin Queen,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
10815,Lakers,Austin Reaves,0,21,1,25.0,1,1,3,2,0,2,6,4,100.0,5,0,1,10,2,5,33.3
10815,Lakers,Rajon Rondo,0,18,2,0.0,1,1,5,2,0,-15,2,0,0.0,0,1,0,4,1,0,100.0
10815,Lakers,Russell Westbrook,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
10826,Lakers,Kent Bazemore,0,26,4,42.9,5,5,0,3,0,3,9,7,100.0,2,2,3,11,0,2,33.3
10826,Lakers,LeBron James,0,17,1,0.0,3,3,2,4,0,-2,12,3,100.0,1,2,0,9,1,1,33.3
10826,Lakers,DeAndre Jordan,0,21,3,0.0,9,7,1,4,2,2,6,0,66.7,3,0,0,10,2,2,66.7
10826,Lakers,Malik Monk,0,20,1,25.0,3,2,2,2,1,-9,6,4,0.0,0,6,1,5,0,0,33.3
10826,Lakers,Russell Westbrook,0,17,1,0.0,7,5,4,1,2,-8,7,0,0.0,0,6,0,2,0,0,14.3
10826,Lakers,Carmelo Anthony,0,11,1,0.0,1,1,0,1,0,-15,7,4,100.0,2,0,0,4,0,2,14.3
10826,Lakers,Trevor Ariza,,,,,,,,,,,,,,,,,,,,
10826,Lakers,Joel Ayayi,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
10826,Lakers,Chaundee Brown Jr.,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
10826,Lakers,Anthony Davis,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
10826,Lakers,Wayne Ellington,1,19,2,0.0,2,2,1,0,0,-10,2,1,75.0,4,0,0,3,0,3,0.0
10826,Lakers,Talen Horton-Tucker,0,19,3,33.3,3,2,2,5,1,-4,10,3,66.7,9,3,1,17,1,6,50.0
10826,Lakers,Dwight Howard,1,23,3,0.0,12,6,3,8,6,-1,11,0,63.6,11,2,0,23,1,7,72.7
10826,Lakers,Mac McClung,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
10826,Lakers,Kendrick Nunn,1,27,1,37.5,4,3,1,5,1,2,13,8,0.0,0,2,3,13,0,0,38.5
10826,Lakers,Cameron Oliver,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
10826,Lakers,Trevelin Queen,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
10826,Lakers,Austin Reaves,0,15,1,75.0,2,1,0,3,1,9,4,4,0.0,0,0,3,9,2,0,75.0
10826,Lakers,Rajon Rondo,0,17,1,100.0,5,5,6,3,0,-2,4,2,0.0,0,4,2,8,1,0,75.0
10833,Lakers,Kent Bazemore,0,24,3,40.0,4,3,2,3,1,-14,7,5,0.0,0,1,2,8,4,0,42.9
10833,Lakers,Anthony Davis,1,27,3,33.3,3,2,6,5,1,-13,12,3,72.7,11,1,1,19,3,8,41.7
