Game_ID,Team,Player,blocks,min,pFouls,tpp,totReb,defReb,assists,fgm,offReb,plusMinus,fga,tpa,ftp,fta,turnovers,tpm,points,steals,ftm,fgp
10805,Nuggets,Nikola Jokic,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
10814,Nuggets,Nikola Jokic,2,15,2,75.0,10,9,2,7,1,5,11,4,0.0,0,1,3,17,0,0,63.6
10825,Nuggets,Nikola Jokic,2,26,2,16.7,9,9,10,3,0,19,10,6,75.0,4,2,1,10,0,3,30.0
10847,Nuggets,Nikola Jokic,1,30,4,100.0,12,7,5,8,5,-10,11,1,100.0,5,2,1,22,3,5,72.7
10852,Nuggets,Nikola Jokic,,,,,,,,,,,,,,,,,,,,
9577,Nuggets,Nikola Jokic,0,34,3,16.7,13,11,2,13,2,28,22,6,0.0,0,3,1,27,2,0,59.1
9589,Nuggets,Nikola Jokic,1,33,4,100.0,16,11,7,14,5,14,19,2,66.7,3,6,2,32,3,2,73.7
9613,Nuggets,Nikola Jokic,0,34,3,25.0,19,16,3,9,3,-12,15,4,83.3,6,6,1,24,3,5,60.0
9619,Nuggets,Nikola Jokic,0,15,1,100.0,6,5,6,8,1,7,9,3,71.4,7,1,3,24,0,5,88.9
9640,Nuggets,Nikola Jokic,0,25,4,33.3,16,14,8,5,2,26,9,3,0.0,0,1,1,11,1,0,55.6
9652,Nuggets,Nikola Jokic,2,36,2,37.5,19,14,7,10,5,17,23,8,75.0,4,7,3,26,1,3,43.5
9665,Nuggets,Nikola Jokic,4,33,2,33.3,7,6,7,9,1,0,15,6,75.0,4,3,2,23,0,3,60.0
8900,Nuggets,Nikola Jokic,0,35,3,40.0,11,9,5,11,2,-3,20,5,100.0,10,2,2,34,2,10,55.0
8919,Nuggets,Nikola Jokic,1,36,5,33.3,14,12,2,9,2,7,15,3,81.8,11,5,1,28,2,9,60.0
8937,Nuggets,Nikola Jokic,2,33,3,0.0,15,11,10,10,4,14,14,0,62.5,8,2,0,25,2,5,71.4
9747,Nuggets,Nikola Jokic,0,35,5,12.5,19,14,10,10,5,19,22,8,25.0,4,2,1,22,1,1,45.5
9762,Nuggets,Nikola Jokic,0,27,2,100.0,9,7,9,11,2,9,17,3,100.0,3,3,3,28,0,3,64.7
9769,Nuggets,Nikola Jokic,2,36,1,33.3,16,13,6,15,3,-1,26,6,50.0,6,3,2,35,0,3,57.7
9793,Nuggets,Nikola Jokic,1,35,3,75.0,10,9,7,10,1,-5,17,4,77.8,9,1,3,30,0,7,58.8
9816,Nuggets,Nikola Jokic,,,,,,,,,,,,,,,,,,,,
9871,Nuggets,Nikola Jokic,0,32,2,50.0,15,12,7,9,3,17,14,2,83.3,6,1,1,24,1,5,64.3
9106,Nuggets,Nikola Jokic,0,36,1,0.0,15,14,7,7,1,2,19,5,80.0,5,5,0,18,1,4,36.8
9128,Nuggets,Nikola Jokic,0,26,0,42.9,11,8,5,14,3,12,19,7,100.0,1,4,3,32,0,1,73.7
9143,Nuggets,Nikola Jokic,0,36,2,20.0,12,11,15,6,1,7,17,5,66.7,6,3,1,17,2,4,35.3
9940,Nuggets,Nikola Jokic,0,36,2,0.0,11,10,11,17,1,4,23,3,55.6,9,6,0,39,1,5,73.9
9167,Nuggets,Nikola Jokic,1,34,3,25.0,13,11,10,8,2,-5,19,8,100.0,4,2,2,22,2,4,42.1
9183,Nuggets,Nikola Jokic,2,34,3,66.7,17,15,8,15,2,32,24,6,100.0,1,5,4,35,1,1,62.5
9197,Nuggets,Nikola Jokic,1,30,0,50.0,19,17,9,9,2,21,14,2,81.8,11,4,1,28,3,9,64.3
9210,Nuggets,Nikola Jokic,0,34,4,50.0,10,8,11,11,2,-17,16,4,60.0,5,4,2,27,1,3,68.8
9220,Nuggets,Nikola Jokic,0,26,5,50.0,10,8,7,8,2,13,12,2,100.0,3,3,1,20,3,3,66.7
10039,Nuggets,Nikola Jokic,2,24,0,25.0,7,7,3,5,0,-15,9,4,100.0,2,3,1,13,0,2,55.6
10047,Nuggets,Nikola Jokic,0,35,0,16.7,21,15,5,13,6,2,34,6,66.7,3,6,1,29,1,2,38.2
10065,Nuggets,Nikola Jokic,2,37,4,33.3,22,16,8,9,6,-7,24,3,100.0,7,4,1,26,2,7,37.5
10079,Nuggets,Nikola Jokic,1,35,2,0.0,19,14,5,8,5,6,19,5,75.0,8,8,0,22,4,6,42.1
10108,Nuggets,Nikola Jokic,1,25,4,50.0,11,10,3,8,1,7,12,2,77.8,9,4,1,24,0,7,66.7
10123,Nuggets,Nikola Jokic,0,34,3,25.0,16,12,3,11,4,-6,18,4,100.0,4,3,1,27,2,4,61.1
10140,Nuggets,Nikola Jokic,2,37,2,33.3,21,19,11,10,2,-1,17,3,83.3,6,5,1,26,0,5,58.8
10153,Nuggets,Nikola Jokic,2,33,3,50.0,10,9,7,13,1,0,20,6,50.0,8,2,3,33,2,4,65.0
10166,Nuggets,Nikola Jokic,0,32,0,33.3,18,10,6,8,8,10,21,3,100.0,5,2,1,22,1,5,38.1
10181,Nuggets,Nikola Jokic,0,36,2,33.3,13,8,8,9,5,6,14,3,100.0,2,5,1,21,1,2,64.3
10196,Nuggets,Nikola Jokic,2,28,2,50.0,8,8,7,8,0,18,10,2,100.0,3,3,1,20,0,3,80.0
10214,Nuggets,Nikola Jokic,0,28,1,50.0,12,10,13,7,2,16,12,2,100.0,2,3,1,17,1,2,58.3
10218,Nuggets,Nikola Jokic,0,36,5,40.0,15,12,14,10,3,5,18,5,100.0,3,3,2,25,2,3,55.6
10243,Nuggets,Nikola Jokic,1,41,4,60.0,14,7,10,16,7,15,25,5,87.5,16,5,3,49,3,14,64.0
10257,Nuggets,Nikola Jokic,1,40,3,50.0,11,8,12,11,3,0,16,4,66.7,3,0,2,26,2,2,68.8
10272,Nuggets,Nikola Jokic,1,36,1,16.7,9,7,8,12,2,12,19,6,90.0,10,3,1,34,2,9,63.2
10279,Nuggets,Nikola Jokic,0,33,2,37.5,21,18,9,9,3,14,20,8,100.0,7,3,3,28,1,7,45.0
10018,Nuggets,Nikola Jokic,0,35,5,100.0,10,8,8,8,2,6,13,2,100.0,8,2,2,26,1,8,61.5
10294,Nuggets,Nikola Jokic,0,30,5,50.0,13,10,10,11,3,15,19,6,100.0,4,6,3,29,2,4,57.9
10321,Nuggets,Nikola Jokic,1,28,1,50.0,10,10,15,7,0,24,9,4,100.0,2,5,2,18,3,2,77.8
10335,Nuggets,Nikola Jokic,0,30,3,25.0,16,14,8,6,2,-7,12,4,88.9,9,5,1,21,1,8,50.0
10359,Nuggets,Nikola Jokic,0,34,4,100.0,12,10,9,7,2,-6,10,3,100.0,8,4,3,25,2,8,70.0
10369,Nuggets,Nikola Jokic,1,29,1,0.0,12,11,10,12,1,27,15,2,75.0,4,2,0,27,2,3,80.0
10386,Nuggets,Nikola Jokic,0,30,2,0.0,11,8,7,8,3,1,14,3,71.4,7,6,0,21,0,5,57.1
10407,Nuggets,Nikola Jokic,2,34,2,30.0,16,11,11,9,5,3,20,10,50.0,4,9,3,23,0,2,45.0
10415,Nuggets,Nikola Jokic,2,34,1,0.0,15,10,6,10,5,3,16,2,80.0,10,4,0,28,0,8,62.5
10429,Nuggets,Nikola Jokic,0,34,2,33.3,15,10,7,10,5,7,26,9,100.0,3,5,3,26,1,3,38.5
10448,Nuggets,Nikola Jokic,0,34,3,60.0,17,12,8,13,5,6,24,5,66.7,9,5,3,35,1,6,54.2
10460,Nuggets,Nikola Jokic,1,34,3,50.0,12,11,9,9,1,17,15,4,71.4,7,2,2,25,4,5,60.0
10476,Nuggets,Nikola Jokic,0,34,5,0.0,10,8,11,6,2,-5,16,5,75.0,8,2,0,18,0,6,37.5
10483,Nuggets,Nikola Jokic,0,26,2,0.0,18,17,11,3,1,6,5,1,100.0,2,2,0,8,1,2,60.0
10503,Nuggets,Nikola Jokic,0,32,2,0.0,16,12,4,10,4,-27,17,4,100.0,2,6,0,22,2,2,58.8
10532,Nuggets,Nikola Jokic,4,42,3,60.0,12,9,11,16,3,22,22,5,91.7,12,5,3,46,3,11,72.7
9314,Nuggets,Nikola Jokic,1,34,3,0.0,15,12,13,12,3,14,17,0,57.1,14,3,0,32,0,8,70.6
10556,Nuggets,Nikola Jokic,2,35,4,0.0,18,15,7,15,3,6,24,2,88.9,9,3,0,38,1,8,62.5
10559,Nuggets,Nikola Jokic,1,31,4,0.0,12,11,9,9,1,-7,21,8,83.3,6,5,0,23,1,5,42.9
10574,Nuggets,Nikola Jokic,2,30,2,0.0,10,6,7,9,4,-4,13,0,88.9,9,3,0,26,0,8,69.2
10587,Nuggets,Nikola Jokic,2,33,1,33.3,13,12,8,8,1,-9,16,3,71.4,7,5,1,22,2,5,50.0
10600,Nuggets,Nikola Jokic,1,26,2,100.0,13,11,8,10,2,16,14,2,100.0,7,3,2,29,2,7,71.4
10614,Nuggets,Nikola Jokic,1,37,3,0.0,10,5,8,15,5,-16,24,4,100.0,2,4,0,32,2,2,62.5
10633,Nuggets,Nikola Jokic,1,33,2,33.3,8,4,4,8,4,-21,23,6,83.3,6,2,2,23,1,5,34.8
10648,Nuggets,Nikola Jokic,3,34,5,0.0,14,13,6,9,1,10,15,2,92.3,13,1,0,30,2,12,60.0
10664,Nuggets,Nikola Jokic,0,32,2,50.0,6,4,6,9,2,-15,10,2,81.8,11,8,1,28,3,9,90.0
10678,Nuggets,Nikola Jokic,2,34,4,0.0,12,10,8,13,2,19,15,1,90.0,10,3,0,35,2,9,86.7
10687,Nuggets,Nikola Jokic,0,35,1,0.0,19,14,11,9,5,21,17,0,66.7,12,4,0,26,2,8,52.9
10702,Nuggets,Nikola Jokic,1,35,3,0.0,13,10,9,15,3,11,19,0,87.5,8,7,0,37,2,7,78.9
