Game_ID,Team,Player,blocks,min,pFouls,tpp,totReb,defReb,assists,fgm,offReb,plusMinus,fga,tpa,ftp,fta,turnovers,tpm,points,steals,ftm,fgp
9546,Bucks,Brandon Randolph,1,7,0,50.0,1,1,1,1,0,3,3,2,100.0,2,1,1,5,0,2,33.3
9546,Bucks,Mamadi Diakite,1,28,4,33.3,6,5,0,3,1,-2,7,3,66.7,3,6,1,9,1,2,42.9
9546,Bucks,Sandro Mamukelashvili,1,22,1,75.0,7,4,0,8,3,-11,12,4,100.0,1,3,3,20,0,1,66.7
9546,Bucks,Theo Pinson,0,16,2,20.0,3,3,3,1,0,-11,7,5,100.0,2,1,1,5,0,2,14.3
9546,Bucks,Jalen Crutcher,1,27,1,16.7,5,2,4,3,3,2,11,6,0.0,0,4,1,7,0,0,27.3
9546,Bucks,DMitrik Trice,0,26,0,50.0,1,0,3,10,1,5,16,6,100.0,1,3,3,24,0,1,62.5
9546,Bucks,Jemerrio Jones,0,21,0,0.0,13,7,5,2,6,7,3,0,100.0,1,4,0,5,0,1,66.7
9546,Bucks,Steven Enoch,0,13,5,0.0,6,5,0,2,1,-2,4,1,0.0,0,2,0,4,0,0,50.0
9546,Bucks,Tyree White,1,20,1,25.0,3,2,1,2,1,-15,6,4,0.0,0,1,1,5,0,0,33.3
9546,Bucks,Paul Eboua,3,12,1,0.0,0,0,0,0,0,-8,1,0,0.0,0,0,0,0,0,0,0.0
9546,Bucks,Mike Smith,0,3,0,100.0,0,0,0,1,0,-3,1,1,0.0,0,2,1,3,0,0,100.0
9546,Bucks,Georgios Kalaitzakis,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
9546,Bucks,E.J. Montgomery,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
9546,Bucks,John Mooney,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
9546,Bucks,Jordan Nwora,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
10809,Bucks,Jordan Nwora,0,22,1,25.0,4,4,3,7,0,-14,15,4,50.0,2,3,1,16,3,1,46.7
10809,Bucks,Thanasis Antetokounmpo,1,18,0,0.0,2,1,1,2,1,-17,6,0,0.0,0,1,0,4,0,0,33.3
10809,Bucks,Brook Lopez,2,19,2,0.0,7,6,1,4,1,-13,11,3,100.0,1,2,0,9,1,1,36.4
10809,Bucks,Grayson Allen,1,16,0,50.0,3,3,1,5,0,-5,8,6,0.0,0,0,3,13,0,0,62.5
10809,Bucks,George Hill,0,17,1,0.0,5,4,2,0,1,-14,5,5,100.0,3,3,0,3,0,3,0.0
10809,Bucks,Giannis Antetokounmpo,,,,,,,,,,,,,,,,,,,,
10809,Bucks,Elijah Bryant,0,22,0,0.0,3,3,2,1,0,0,3,1,0.0,0,2,0,2,1,0,33.3
10809,Bucks,Pat Connaughton,0,17,1,25.0,1,1,3,3,0,2,7,4,0.0,0,0,1,7,0,0,42.9
10809,Bucks,Javin DeLaurier,0,18,0,0.0,1,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0.0
10809,Bucks,Donte DiVincenzo,,,,,,,,,,,,,,,,,,,,
10809,Bucks,Jrue Holiday,,,,,,,,,,,,,,,,,,,,
10809,Bucks,Rodney Hood,,,,,,,,,,,,,,,,,,,,
10809,Bucks,Georgios Kalaitzakis,0,21,1,0.0,2,2,1,0,0,-2,2,2,0.0,0,2,0,0,0,0,0.0
10809,Bucks,Sandro Mamukelashvili,0,28,2,0.0,7,2,3,4,5,2,6,1,50.0,2,1,0,9,0,1,66.7
10809,Bucks,Khris Middleton,,,,,,,,,,,,,,,,,,,,
10809,Bucks,Johnny O'Bryant III,0,5,1,100.0,0,0,0,1,0,5,1,1,0.0,0,0,1,3,0,0,100.0
10809,Bucks,Semi Ojeleye,,,,,,,,,,,,,,,,,,,,
10809,Bucks,Bobby Portis,,,,,,,,,,,,,,,,,,,,
10809,Bucks,Justin Robinson,0,25,2,75.0,0,0,3,3,0,-1,6,4,0.0,0,1,3,9,0,0,50.0
10809,Bucks,Tremont Waters,0,5,0,0.0,0,0,1,1,0,7,3,1,0.0,0,0,0,2,1,0,33.3
10821,Bucks,Jordan Nwora,0,32,1,60.0,8,8,2,11,0,15,21,10,100.0,2,3,6,30,0,2,52.4
10821,Bucks,Thanasis Antetokounmpo,0,30,2,0.0,6,2,2,3,4,2,6,1,75.0,8,0,0,12,2,6,50.0
10821,Bucks,Sandro Mamukelashvili,0,30,0,40.0,11,9,1,8,2,-2,14,5,33.3,6,4,2,20,1,2,57.1
10821,Bucks,Georgios Kalaitzakis,1,31,3,0.0,6,6,3,2,0,-7,8,2,100.0,2,0,0,6,0,2,25.0
10821,Bucks,Tremont Waters,0,25,4,100.0,1,1,5,2,0,-19,3,2,0.0,0,6,2,6,0,0,66.7
10821,Bucks,Grayson Allen,,,,,,,,,,,,,,,,,,,,
10821,Bucks,Giannis Antetokounmpo,,,,,,,,,,,,,,,,,,,,
10821,Bucks,Elijah Bryant,1,29,3,75.0,8,5,1,7,3,-2,12,4,80.0,5,2,3,21,2,4,58.3
10821,Bucks,Pat Connaughton,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
10821,Bucks,Javin DeLaurier,0,20,4,0.0,2,2,0,0,0,0,2,1,50.0,4,0,0,2,2,2,0.0
10821,Bucks,Donte DiVincenzo,,,,,,,,,,,,,,,,,,,,
10821,Bucks,George Hill,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
10821,Bucks,Jrue Holiday,,,,,,,,,,,,,,,,,,,,
10821,Bucks,Rodney Hood,,,,,,,,,,,,,,,,,,,,
10821,Bucks,Brook Lopez,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
10821,Bucks,Khris Middleton,,,,,,,,,,,,,,,,,,,,
10821,Bucks,Johnny O'Bryant III,0,14,0,50.0,3,1,0,2,2,-5,5,2,0.0,0,1,1,5,1,0,40.0
10821,Bucks,Semi Ojeleye,,,,,,,,,,,,,,,,,,,,
10821,Bucks,Bobby Portis,,,,,,,,,,,,,,,,,,,,
10821,Bucks,Justin Robinson,0,24,2,25.0,4,4,2,5,0,-2,10,4,100.0,2,2,1,13,0,2,50.0
10832,Bucks,Khris Middleton,1,17,2,100.0,3,3,2,6,0,11,6,2,0.0,0,2,2,14,0,0,100.0
10832,Bucks,Giannis Antetokounmpo,0,17,0,0.0,9,6,6,4,3,11,9,1,0.0,2,0,0,8,1,0,44.4
10832,Bucks,Brook Lopez,3,19,2,0.0,4,3,0,5,1,23,10,1,50.0,2,0,0,11,0,1,50.0
10832,Bucks,Grayson Allen,1,22,0,42.9,4,4,0,5,0,2,10,7,0.0,0,1,3,13,0,0,50.0
10832,Bucks,Jrue Holiday,0,17,1,50.0,4,4,4,4,0,11,6,2,100.0,2,1,1,11,0,2,66.7
10832,Bucks,Thanasis Antetokounmpo,1,15,2,0.0,5,3,5,2,2,19,3,0,0.0,0,1,0,4,1,0,66.7
10832,Bucks,Elijah Bryant,0,15,3,66.7,2,1,1,5,1,11,8,6,0.0,0,1,4,14,0,0,62.5
10832,Bucks,Pat Connaughton,0,17,0,60.0,3,3,3,3,0,2,6,5,100.0,3,0,3,12,0,3,50.0
10832,Bucks,Javin DeLaurier,0,9,2,0.0,4,2,0,2,2,-1,2,0,0.0,2,1,0,4,0,0,100.0
10832,Bucks,Donte DiVincenzo,,,,,,,,,,,,,,,,,,,,
10832,Bucks,George Hill,,,,,,,,,,,,,,,,,,,,
10832,Bucks,Rodney Hood,,,,,,,,,,,,,,,,,,,,
10832,Bucks,Georgios Kalaitzakis,0,11,0,0.0,3,2,1,1,1,-1,6,1,100.0,2,0,0,4,1,2,16.7
10832,Bucks,Sandro Mamukelashvili,0,20,2,100.0,2,1,2,3,1,-6,5,1,0.0,0,1,1,7,0,0,60.0
10832,Bucks,Jordan Nwora,0,20,0,50.0,8,8,3,6,0,12,14,6,0.0,0,0,3,15,0,0,42.9
10832,Bucks,Johnny O'Bryant III,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
10832,Bucks,Semi Ojeleye,,,,,,,,,,,,,,,,,,,,
10832,Bucks,Bobby Portis,,,,,,,,,,,,,,,,,,,,
10832,Bucks,Justin Robinson,0,18,0,0.0,3,3,3,1,0,-4,5,2,0.0,0,1,0,2,2,0,20.0
10832,Bucks,Tremont Waters,0,16,0,100.0,1,1,2,4,0,10,4,3,0.0,0,3,3,11,1,0,100.0
10848,Bucks,Khris Middleton,0,24,4,75.0,5,4,3,9,1,19,14,4,100.0,4,2,3,25,2,4,64.3
10848,Bucks,Giannis Antetokounmpo,0,20,0,66.7,6,5,5,9,1,14,12,3,100.0,1,2,2,21,2,1,75.0
10848,Bucks,Brook Lopez,2,26,1,40.0,6,4,0,4,2,6,9,5,100.0,1,0,2,11,1,1,44.4
10848,Bucks,Grayson Allen,0,25,2,40.0,5,5,2,2,0,13,8,5,0.0,0,0,2,6,0,0,25.0
10848,Bucks,Jrue Holiday,0,24,1,100.0,4,2,5,6,2,16,10,1,0.0,0,2,1,13,2,0,60.0
10848,Bucks,Thanasis Antetokounmpo,1,9,4,0.0,3,3,2,0,0,-6,1,0,0.0,0,0,0,0,0,0,0.0
10848,Bucks,Elijah Bryant,0,12,2,0.0,0,0,0,3,0,-9,7,1,0.0,0,0,0,6,0,0,42.9
10848,Bucks,Pat Connaughton,0,15,1,42.9,0,0,1,3,0,-7,7,7,0.0,0,0,3,9,0,0,42.9
10848,Bucks,Javin DeLaurier,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
10848,Bucks,Donte DiVincenzo,,,,,,,,,,,,,,,,,,,,
10848,Bucks,George Hill,0,17,1,0.0,4,3,0,3,1,-9,6,2,50.0,4,1,0,8,1,2,50.0
10848,Bucks,Rodney Hood,0,9,2,0.0,0,0,0,0,0,-11,3,2,0.0,0,2,0,0,0,0,0.0
10848,Bucks,Georgios Kalaitzakis,0,5,0,0.0,0,0,0,0,0,-2,1,0,0.0,0,1,0,0,0,0,0.0
10848,Bucks,Sandro Mamukelashvili,1,16,1,0.0,7,6,0,1,1,-23,8,3,0.0,0,0,0,2,0,0,12.5
10848,Bucks,Jordan Nwora,0,18,0,60.0,2,2,4,5,0,-5,12,5,0.0,0,2,3,13,1,0,41.7
10848,Bucks,Semi Ojeleye,,,,,,,,,,,,,,,,,,,,
10848,Bucks,Bobby Portis,,,,,,,,,,,,,,,,,,,,
10848,Bucks,Justin Robinson,0,6,1,0.0,1,1,0,2,0,-10,3,1,0.0,0,0,0,4,0,0,66.7
10848,Bucks,Tremont Waters,0,4,0,0.0,0,0,0,1,0,-6,2,0,0.0,0,0,0,2,0,0,50.0
10859,Bucks,Jordan Nwora,0,24,1,11.1,3,3,1,6,0,-9,17,9,100.0,2,1,1,15,1,2,35.3
10859,Bucks,Giannis Antetokounmpo,0,25,1,100.0,10,10,2,9,0,-6,11,2,66.7,9,3,2,26,1,6,81.8
10859,Bucks,Brook Lopez,4,25,3,50.0,1,1,0,4,0,-1,7,4,0.0,0,2,2,10,0,0,57.1
10859,Bucks,Grayson Allen,0,24,1,50.0,5,4,0,4,1,-2,8,6,100.0,2,0,3,13,0,2,50.0
10859,Bucks,Jrue Holiday,1,28,0,25.0,6,6,8,6,0,2,12,4,0.0,0,1,1,13,2,0,50.0
10859,Bucks,Thanasis Antetokounmpo,1,18,5,0.0,2,1,3,2,1,-16,5,1,0.0,1,1,0,4,0,0,40.0
10859,Bucks,Pat Connaughton,0,28,0,14.3,6,5,2,3,1,-10,9,7,0.0,0,1,1,7,1,0,33.3
10859,Bucks,Javin DeLaurier,0,6,2,0.0,2,0,0,0,2,2,1,1,0.0,0,1,0,0,0,0,0.0
