Team,Player,blocks,min,pFouls,tpp,totReb,defReb,assists,fgm,offReb,plusMinus,fga,tpa,ftp,fta,turnovers,tpm,points,steals,ftm,fgp
Clippers,Amir Coffey,0,42,2,55.6,6,6,7,10,0,41,16,9,100.0,7,0,5,32,4,7,62.5
Clippers,Robert Covington,3,45,5,61.1,8,8,2,15,0,30,24,18,100.0,2,2,11,43,2,2,62.5
Clippers,Ivica Zubac,1,21,1,0.0,3,1,4,5,2,22,7,0,25.0,4,0,0,11,0,1,71.4
Clippers,Luke Kennard,0,32,1,37.5,4,4,6,8,0,20,15,8,100.0,4,0,3,23,1,4,53.3
Clippers,Terance Mann,1,31,1,50.0,3,2,5,7,1,32,12,2,60.0,5,3,1,18,0,3,58.3
Clippers,Nicolas Batum,,,,,,,,,,,,,,,,,,,,
Clippers,Isaiah Hartenstein,1,26,4,33.3,10,6,5,6,4,12,9,3,50.0,2,3,1,14,1,1,66.7
Clippers,Rodney Hood,0,21,0,50.0,0,0,1,2,0,7,4,2,0.0,0,1,1,5,1,0,50.0
Clippers,Reggie Jackson,,,,,,,,,,,,,,,,,,,,
Clippers,Xavier Moon,1,18,3,100.0,2,1,4,3,1,6,5,1,0.0,0,0,1,7,0,0,60.0
Clippers,Marcus Morris Sr.,,,,,,,,,,,,,,,,,,,,
Bucks,Jordan Nwora,1,40,3,60.0,4,2,0,10,2,-22,16,5,83.3,6,4,3,28,0,5,62.5
Bucks,Bobby Portis,0,26,3,0.0,8,5,3,12,3,-17,20,4,100.0,1,1,0,25,1,1,60.0
Bucks,Serge Ibaka,0,27,5,50.0,10,7,3,4,3,-17,8,2,0.0,0,2,1,9,0,0,50.0
Bucks,Pat Connaughton,0,22,1,16.7,1,1,5,2,0,-25,9,6,0.0,0,1,1,5,2,0,22.2
Bucks,Jevon Carter,0,29,1,100.0,2,2,8,8,0,-22,10,2,0.0,0,1,2,18,1,0,80.0
Bucks,Sandro Mamukelashvili,2,22,1,33.3,4,1,2,3,3,-20,6,3,50.0,2,1,1,8,0,1,50.0
Bucks,Grayson Allen,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
Bucks,Thanasis Antetokounmpo,2,25,2,0.0,2,1,0,6,1,-11,9,0,0.0,2,1,0,12,1,0,66.7
Bucks,George Hill,0,20,0,0.0,4,3,5,2,1,-21,8,1,0.0,0,2,0,4,0,0,25.0
Bucks,Wesley Matthews,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
Bucks,Lindell Wigginton,0,24,3,0.0,3,3,4,3,0,-15,8,2,57.1,7,2,0,10,1,4,37.5
