Team,Player,blocks,min,pFouls,tpp,totReb,defReb,assists,fgm,offReb,plusMinus,fga,tpa,ftp,fta,turnovers,tpm,points,steals,ftm,fgp
Nets,Kevin Durant,0,42,1,80.0,7,7,3,19,0,1,28,10,81.8,11,4,8,55,1,9,67.9
Nets,Kessler Edwards,1,19,4,50.0,3,3,0,3,0,-7,6,4,100.0,1,0,2,9,0,1,50.0
Nets,Andre Drummond,1,18,2,0.0,13,7,1,4,6,-6,11,0,0.0,0,1,0,8,2,0,36.4
Nets,Patty Mills,0,30,4,0.0,1,1,1,0,0,7,7,5,0.0,0,2,0,0,0,0,0.0
Nets,Kyrie Irving,0,44,5,50.0,2,2,6,12,0,-6,32,14,0.0,0,2,7,31,1,0,37.5
Nets,LaMarcus Aldridge,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
Nets,Nic Claxton,1,23,3,0.0,7,5,1,2,2,3,4,0,0.0,0,0,0,4,0,0,50.0
Nets,Seth Curry,,,,,,,,,,,,,,,,,,,,
Nets,David Duke Jr.,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
Nets,Blake Griffin,0,6,2,0.0,2,2,0,0,0,-10,1,1,0.0,0,0,0,0,0,0,0.0
Nets,James Johnson,0,31,4,0.0,9,7,3,1,2,-7,3,2,50.0,2,2,0,3,0,1,33.3
Nets,Day'Ron Sharpe,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
Nets,Cam Thomas,0,24,4,0.0,8,8,2,1,0,-10,7,1,60.0,5,2,0,5,1,3,14.3
Hawks,Timothe Luwawu-Cabarrot,0,22,3,25.0,4,3,1,3,1,-5,8,4,80.0,5,0,1,11,1,4,37.5
Hawks,De'Andre Hunter,0,26,4,50.0,10,9,2,4,1,-5,7,2,75.0,8,0,1,15,0,6,57.1
Hawks,Clint Capela,1,30,2,0.0,12,8,1,4,4,-1,6,0,25.0,4,0,0,9,2,1,66.7
Hawks,Kevin Huerter,0,29,3,14.3,4,4,0,2,0,-2,10,7,0.0,0,1,1,5,0,0,20.0
Hawks,Trae Young,0,35,2,44.4,6,5,10,10,1,-5,24,9,85.7,14,3,4,36,0,12,41.7
Hawks,Bogdan Bogdanovic,0,23,2,0.0,1,1,2,3,0,15,9,6,100.0,2,1,0,8,2,2,33.3
Hawks,Gorgui Dieng,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
Hawks,Danilo Gallinari,0,24,1,40.0,5,5,1,5,0,13,9,5,75.0,4,0,2,15,1,3,55.6
Hawks,Kevin Knox II,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
Hawks,Skylar Mays,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
Hawks,Onyeka Okongwu,2,17,1,0.0,6,5,0,1,1,6,2,0,66.7,6,0,0,6,2,4,50.0
Hawks,Lou Williams,0,12,0,50.0,2,1,0,1,1,14,5,2,83.3,6,1,1,8,0,5,20.0
Hawks,Delon Wright,1,16,0,50.0,4,3,1,3,1,5,6,6,0.0,0,0,3,9,2,0,50.0
